Model Name,Selection,Parameters,R2 Score,RMSE Score
Linear Regression,base,"fit_intercept = True, 
 normalize = False",-5.35E+24,-9.70E+13
Lasso Regression,base,"alpha = 1.0, 
 normalize = False",0.479099793,-60.52669656
SVR,base,"C = 1, 
 gamma = scale",0.112217492,-79.02684571
KNN,base,"n_neighbors = 5, 
 p = 2",0.449489445,-62.17872823
Tree,base,"criterion = mse, 
 max_depth = None",0.25307914,-72.4091743
XGBoost,base,default,0.563154545,-55.33842503
Linear Regression,sel ln_reg,"fit_intercept = True, 
 normalize = False",-3.88E+26,-8.08E+14
Lasso Regression,sel ln_reg,"alpha = 1.0, 
 normalize = False",-0.003477051,-83.96469605
SVR,sel ln_reg,"C = 1, 
 gamma = scale",-0.04409077,-85.67905134
KNN,sel ln_reg,"n_neighbors = 5, 
 p = 2",-0.061541078,-86.26249325
Tree,sel ln_reg,"criterion = mse, 
 max_depth = None",-7.83E-05,-83.82544187
Random Forest,sel ln_reg,"n_estimators = 100, 
 max_depth = None, min_impurity_decrease = 0, 
 min_samples_leaf = 1, max_features = auto",-0.00074074,-83.8519202
XGBoost,sel ln_reg,default,-0.000209466,-83.83069382
Linear Regression,sel rnd_for_reg,"fit_intercept = True, 
 normalize = False",0.471179224,-60.93550174
Lasso Regression,sel rnd_for_reg,"alpha = 1.0, 
 normalize = False",0.449582147,-62.20261287
SVR,sel rnd_for_reg,"C = 1, 
 gamma = scale",0.273243726,-71.5145479
KNN,sel rnd_for_reg,"n_neighbors = 5, 
 p = 2",0.500668178,-59.18227392
Tree,sel rnd_for_reg,"criterion = mse, 
 max_depth = None",0.14136411,-77.10916813
Random Forest,sel rnd_for_reg,"n_estimators = 100, 
 max_depth = None, min_impurity_decrease = 0, 
 min_samples_leaf = 1, max_features = auto",0.563885977,-55.36730652
XGBoost,sel rnd_for_reg,default,0.543627678,-56.40992576
Linear Regression,sel dec_tree,"fit_intercept = True, 
 normalize = False",0.465922673,-61.24215301
Lasso Regression,sel dec_tree,"alpha = 1.0, 
 normalize = False",0.449635327,-62.19942913
SVR,sel dec_tree,"C = 1, 
 gamma = scale",0.274606985,-71.44479268
KNN,sel dec_tree,"n_neighbors = 5, 
 p = 2",0.482253528,-60.24352658
Tree,sel dec_tree,"criterion = mse, 
 max_depth = None",0.188807275,-75.23227521
Random Forest,sel dec_tree,"n_estimators = 100, 
 max_depth = None, min_impurity_decrease = 0, 
 min_samples_leaf = 1, max_features = auto",0.573018132,-54.78019767
XGBoost,sel dec_tree,default,0.545228648,-56.52597405
Linear Regression,sel grd_boost,"fit_intercept = True, 
 normalize = False",0.477246914,-60.59358584
Lasso Regression,sel grd_boost,"alpha = 1.0, 
 normalize = False",0.452467219,-62.04281311
SVR,sel grd_boost,"C = 1, 
 gamma = scale",0.261561209,-72.08638726
KNN,sel grd_boost,"n_neighbors = 5, 
 p = 2",0.50230956,-59.0877587
Tree,sel grd_boost,"criterion = mse, 
 max_depth = None",0.149751789,-76.94068779
Random Forest,sel grd_boost,"n_estimators = 100, 
 max_depth = None, min_impurity_decrease = 0, 
 min_samples_leaf = 1, max_features = auto",0.57160426,-54.87397108
XGBoost,sel grd_boost,default,0.557010608,-55.67351412
Linear Regression,sel lasso,"fit_intercept = True, 
 normalize = False",0.383134578,-65.79994946
